iter	Logloss
0	0.664590375
1	0.6454784303
2	0.6247497988
3	0.6057639148
4	0.5910850806
5	0.5760078583
6	0.5612734067
7	0.5518684517
8	0.5437821837
9	0.5363389803
10	0.5304663792
11	0.5227077463
12	0.5158482156
13	0.5100268136
14	0.5052439216
15	0.4995884572
16	0.4951498203
17	0.4907897212
18	0.4878869285
19	0.4848803457
20	0.4818618592
21	0.4790732915
22	0.4765441927
23	0.4739221637
24	0.4722010055
25	0.4695651228
26	0.4672374658
27	0.464492719
28	0.4633731682
29	0.4616712109
30	0.4605293333
31	0.4581782935
32	0.456975866
33	0.4553164142
34	0.4538842959
35	0.4529801837
36	0.4512696491
37	0.450165295
38	0.4493216531
39	0.4483802005
40	0.4471656136
41	0.446234861
42	0.4454580481
43	0.4446316846
44	0.4431823496
45	0.4425352383
46	0.4411531768
47	0.4398497648
48	0.4387120087
49	0.4378214009
50	0.4365720389
51	0.4352347538
52	0.4345456414
53	0.4334448419
54	0.4321867585
55	0.4308850482
56	0.4299316315
57	0.4287988195
58	0.4277229328
59	0.4270094069
60	0.4259399498
61	0.4253096785
62	0.4246870263
63	0.4240856666
64	0.4232278145
65	0.4226479964
66	0.4220818102
67	0.4207034727
68	0.4199183715
69	0.4190430405
70	0.418286883
71	0.4181360848
72	0.4173337114
73	0.416500051
74	0.4155739128
75	0.4151445779
76	0.4147997489
77	0.4142047632
78	0.4135472008
79	0.4130391407
80	0.4124140072
81	0.4117858211
82	0.4113566109
83	0.4104940067
84	0.4099260776
85	0.4091611832
86	0.4080610861
87	0.4075885053
88	0.4068702113
89	0.4063817798
90	0.4052165462
91	0.4046796869
92	0.4041221967
93	0.4033721399
94	0.4028524251
95	0.4021824733
96	0.4012877172
97	0.4007119766
98	0.3997693594
99	0.3990857762
100	0.3979518314
101	0.3975735738
102	0.3968884577
103	0.3962988198
104	0.3957664145
105	0.3950500756
106	0.3944120602
107	0.3937518661
108	0.393405293
109	0.3928514361
110	0.3924493034
111	0.3919814676
112	0.3915682955
113	0.3910700408
114	0.3902141996
115	0.389451088
116	0.3887554212
117	0.388276366
118	0.387752334
119	0.3869364606
120	0.3866083409
121	0.3864458338
122	0.3863471248
123	0.3859656657
124	0.3855791339
125	0.3850294611
126	0.3846078377
127	0.3842251386
128	0.3836485767
129	0.3833484904
