iter	Logloss
130	0.3828927557
131	0.3822281959
132	0.3815168112
133	0.3811960296
134	0.3804077511
135	0.38017641
136	0.3795261146
137	0.3784907473
138	0.377736606
139	0.3772177718
140	0.3768778506
141	0.3760398049
142	0.3753810453
143	0.3748648496
144	0.3742532411
145	0.3739236196
146	0.3729649018
147	0.3725166816
148	0.3719464261
149	0.3716280404
150	0.3711982932
151	0.3707350162
152	0.3703211767
153	0.369451543
154	0.3689945083
155	0.368276486
156	0.3676376416
157	0.367232155
158	0.366392388
159	0.3663555372
160	0.365744476
161	0.3651031487
162	0.3644273792
163	0.3638631506
164	0.3632818985
165	0.3629507784
166	0.3625993107
167	0.3623608163
168	0.3618698603
169	0.3611833635
170	0.360699591
171	0.3600759711
172	0.3593063314
173	0.3586427591
174	0.3580549422
175	0.3574611783
176	0.3567893961
177	0.3565311322
178	0.3561691479
179	0.3556858616
180	0.3551100835
181	0.3545524037
182	0.353805178
183	0.3530241938
184	0.3526873863
185	0.3522080353
186	0.3516906213
187	0.3510687227
188	0.3503266188
189	0.3497494229
190	0.3492076401
191	0.348570377
192	0.3479137805
193	0.3475406872
194	0.3471683974
195	0.3467462237
196	0.3461176067
197	0.3455029728
198	0.3448888706
199	0.3443995968
200	0.3438047889
201	0.3432854671
202	0.342779607
203	0.3421478913
204	0.3415816802
205	0.3410592712
206	0.3403202716
207	0.339777128
208	0.3393190054
209	0.338763184
210	0.3381690598
211	0.3376917925
212	0.3371183996
213	0.3368162786
214	0.3358100837
215	0.3352914377
216	0.3347952351
217	0.3343812647
218	0.3339226066
219	0.3334728681
220	0.3330786655
221	0.3324684464
222	0.3320794692
223	0.3314787074
224	0.3310189593
225	0.3306209131
226	0.3300848707
227	0.3296158986
228	0.3292212515
229	0.3287978468
230	0.3281849854
231	0.3276795409
232	0.327186745
233	0.3267895538
234	0.3263748656
235	0.3259187333
236	0.3255643968
237	0.3250506742
238	0.3247239361
239	0.3242975798
240	0.323904498
241	0.323341409
242	0.3228610949
243	0.3225063856
244	0.3219929476
245	0.3214063265
246	0.320892544
247	0.3204517264
248	0.3200945883
249	0.3197489789
250	0.3194560708
251	0.3189759173
252	0.318190686
253	0.3176895838
254	0.3172870272
255	0.3167557687
256	0.3162834016
257	0.3157886389
258	0.3154268681
259	0.3150433793
260	0.3146813111
261	0.3142717277
262	0.3138058524
263	0.3135227672
264	0.3129647798
265	0.3125574029
266	0.3121526326
267	0.3116278977
268	0.3111260925
269	0.3107213293
270	0.3101121233
271	0.3097390371
272	0.3092463234
273	0.3090546613
274	0.3086881295
275	0.3080710116
276	0.3075464366
277	0.3070838936
278	0.3066009086
279	0.3061262961
280	0.3058646193
281	0.3054021315
282	0.3050686817
283	0.3046709003
284	0.3043435469
285	0.3038725507
286	0.3035280377
287	0.3031249864
288	0.3026684024
289	0.3020505271
290	0.3016285787
291	0.3012605159
292	0.3007300532
293	0.300420113
294	0.2999817708
295	0.2995476273
296	0.2992083692
297	0.2988300698
298	0.2981901589
299	0.297954028
300	0.2973577756
301	0.2968281446
302	0.2965738153
303	0.2962708817
304	0.2960233182
305	0.2957156043
306	0.2954293274
307	0.2950995558
308	0.2946058029
309	0.294281707
310	0.293785751
311	0.2933843758
312	0.2927850866
313	0.2922643266
314	0.2918324444
315	0.2915515903
316	0.2912238429
317	0.2907454253
318	0.2902635177
319	0.2897965705
320	0.2893760131
321	0.2891020249
322	0.288748234
323	0.2882522292
324	0.2878800574
325	0.2874355404
326	0.2870629442
327	0.2867624087
328	0.2863672294
329	0.2859873702
330	0.2855878418
331	0.2851834189
332	0.2849130618
333	0.2846432869
334	0.284057869
335	0.2833058529
336	0.282938781
337	0.2825376656
338	0.2822496117
339	0.2818071181
340	0.2812061758
341	0.2808357876
342	0.2805154354
343	0.2801993762
344	0.2799527151
345	0.2796719546
346	0.279321197
347	0.2790779991
348	0.2786936047
349	0.2783483739
350	0.2779305796
351	0.2776737465
352	0.277296736
353	0.2769337072
354	0.2766979772
355	0.2765099392
356	0.276033861
357	0.2756743478
358	0.2753386205
359	0.2750925554
360	0.2745958523
361	0.27424624
362	0.2739642647
363	0.2736117078
364	0.2730505213
365	0.2727427462
366	0.2722276488
367	0.2718411953
368	0.2715115654
369	0.2713433722
370	0.2710547632
371	0.2706684936
372	0.2702264039
373	0.269961281
374	0.2696559233
375	0.269301655
376	0.2690044929
377	0.2688151896
378	0.2683437224
379	0.2678897809
380	0.2676455522
381	0.2674548857
382	0.2670883012
383	0.2666819597
384	0.2664986198
385	0.2659909028
386	0.26571279
387	0.2653835603
388	0.2652254859
389	0.2648673339
390	0.2644758766
391	0.264253992
392	0.263835544
393	0.2635919532
394	0.2632674317
395	0.2627805383
396	0.2623222751
397	0.2619883315
398	0.2617738081
399	0.2612564578
400	0.2608588631
401	0.2605101317
402	0.2601177731
403	0.2595465903
404	0.259222699
405	0.2589234179
406	0.2586578143
407	0.2583759384
408	0.2581767961
409	0.257893039
410	0.2576554854
411	0.2572950831
412	0.2569579698
413	0.2565522406
414	0.2561368186
415	0.2558105277
416	0.2553975387
417	0.255069093
418	0.2549100921
419	0.2545506689
420	0.2543828753
421	0.2540313022
422	0.2538948613
423	0.2535073598
424	0.2532559612
425	0.2529849316
426	0.2527916959
427	0.2524263313
428	0.2521622571
429	0.2518913561
430	0.2516692284
431	0.2512194701
432	0.2508559624
433	0.2506372898
434	0.2503990293
435	0.250116827
436	0.2497740964
437	0.2493511943
438	0.2489604874
439	0.2487254367
440	0.2485109453
441	0.2483541253
442	0.2480961548
443	0.2477807594
444	0.2475988617
445	0.2471002863
446	0.2466075281
447	0.2459076314
448	0.2456345692
449	0.2453796699
450	0.2450603163
451	0.2447161945
452	0.2445114503
453	0.2443601544
454	0.244184174
455	0.2438533289
456	0.2436385037
457	0.2432483148
458	0.2429411839
459	0.2424657522
460	0.2423151025
461	0.2421957878
462	0.241961108
463	0.2416225835
464	0.2414138157
465	0.2411512009
466	0.2409489913
467	0.2406055551
468	0.2403348865
469	0.2401834832
470	0.2398144576
471	0.2395401129
472	0.239378132
473	0.2390374763
474	0.2386729536
475	0.2384769796
476	0.2381839574
477	0.2380538915
478	0.237847674
479	0.2375540523
480	0.2372314299
481	0.2367443645
482	0.2365019273
483	0.23622959
484	0.2360017859
485	0.2355632052
486	0.2353427854
487	0.2350287251
488	0.2348732697
489	0.2347366007
490	0.2343916583
491	0.2341083924
492	0.2338279121
493	0.2335540861
494	0.2333727684
495	0.2330779116
496	0.2327836967
497	0.2325773026
498	0.2323593156
499	0.2322263494
